sale,instrspending,discount,tvspending,stockrate,price,radio,onlineadsspending,revenue,location,cuisine,name,month,year,month_num,rating,service_quality_score
85558,11.19,0.32,20.38,0.08,12.83,1152,2633.61,12.83,Main Location,General,Main Location - General,1945-07-01,1945,7,4.5,8.5
88238,28.45,0.13,74.78,0.82,23.56,2887,2866.61,23.56,Main Location,General,Main Location - General,1945-08-01,1945,8,4.5,8.5
159466,49.35,0.19,47.39,0.3,20.06,687,1457.49,20.06,Main Location,General,Main Location - General,1945-09-01,1945,9,4.5,8.5
89318,20.11,0.18,60.21,0.55,19.01,401,53.35,19.01,Main Location,General,Main Location - General,1945-10-01,1945,10,4.5,8.5
251450,43.97,0.39,8.38,0.3,0.76,969,2281.65,0.76,Main Location,General,Main Location - General,1945-11-01,1945,11,4.5,8.5
271385,25.95,0.49,135.7,0.07,1.55,2024,89.09,1.55,Main Location,General,Main Location - General,1945-12-01,1945,12,4.5,8.5
304219,53.17,0.37,145.67,0.33,8.83,247,806.39,8.83,Main Location,General,Main Location - General,1946-01-01,1946,1,4.5,8.5
206719,0.59,0.02,176.51,0.06,2.82,2529,1548.41,2.82,Main Location,General,Main Location - General,1946-02-01,1946,2,4.5,8.5
181024,57.48,0.49,102.82,0.97,24.52,628,157.27,24.52,Main Location,General,Main Location - General,1946-03-01,1946,3,4.5,8.5
340742,43.49,0.08,196.07,0.79,2.93,363,297.66,2.93,Main Location,General,Main Location - General,1946-04-01,1946,4,4.5,8.5
155475,46.1,0.4,119.81,0.77,24.86,773,3173.2,24.86,Main Location,General,Main Location - General,1946-05-01,1946,5,4.5,8.5
270056,37.65,0.27,190.28,0.99,9.76,1104,2851.12,9.76,Main Location,General,Main Location - General,1946-06-01,1946,6,4.5,8.5
254070,39.83,0.34,149.64,0.99,9.6,364,1464.85,9.6,Main Location,General,Main Location - General,1946-07-01,1946,7,4.5,8.5
135519,57.34,0.25,49.51,0.53,26.88,800,869.5,26.88,Main Location,General,Main Location - General,1946-08-01,1946,8,4.5,8.5
262077,45.67,0.04,44.09,0.18,3.12,270,495.49,3.12,Main Location,General,Main Location - General,1946-09-01,1946,9,4.5,8.5
41977,21.55,0.22,17.68,0.15,24.43,1659,2662.21,24.43,Main Location,General,Main Location - General,1946-10-01,1946,10,4.5,8.5
215385,47.92,0.21,168.18,0.31,22.13,2941,2186.16,22.13,Main Location,General,Main Location - General,1946-11-01,1946,11,4.5,8.5
31616,20.85,0.35,30.41,0.31,26.86,2510,2146.33,26.86,Main Location,General,Main Location - General,1946-12-01,1946,12,4.5,8.5
170481,7.7,0.28,113.55,0.5,5.46,2541,1758.12,5.46,Main Location,General,Main Location - General,1947-01-01,1947,1,4.5,8.5
215805,4.86,0.28,186.54,0.66,3.6,109,900.73,3.6,Main Location,General,Main Location - General,1947-02-01,1947,2,4.5,8.5
161191,42.41,0.32,115.34,0.13,22.64,2467,1431.37,22.64,Main Location,General,Main Location - General,1947-03-01,1947,3,4.5,8.5
147814,23.06,0.12,189.35,0.43,23.14,2259,1376.46,23.14,Main Location,General,Main Location - General,1947-04-01,1947,4,4.5,8.5
178450,44.25,0.39,53.48,0.1,16.28,2354,2157.74,16.28,Main Location,General,Main Location - General,1947-05-01,1947,5,4.5,8.5
58197,10.52,0.19,49.93,0.95,18.55,2857,1418.01,18.55,Main Location,General,Main Location - General,1947-06-01,1947,6,4.5,8.5
281975,58.11,0.05,96.43,0.17,10.41,771,2734.45,10.41,Main Location,General,Main Location - General,1947-07-01,1947,7,4.5,8.5
157750,41.85,0.48,57.15,0.41,18.36,2140,1134.55,18.36,Main Location,General,Main Location - General,1947-08-01,1947,8,4.5,8.5
224778,40.87,0.07,71.06,0.62,7.42,779,1194.73,7.42,Main Location,General,Main Location - General,1947-09-01,1947,9,4.5,8.5
173798,23.03,0.49,116.65,0.75,11.68,1152,856.54,11.68,Main Location,General,Main Location - General,1947-10-01,1947,10,4.5,8.5
144527,41.56,0.13,160.88,0.18,29.58,1848,960.21,29.58,Main Location,General,Main Location - General,1947-11-01,1947,11,4.5,8.5
97877,9.6,0.03,177.24,0.11,24.0,122,1139.82,24.0,Main Location,General,Main Location - General,1947-12-01,1947,12,4.5,8.5
206207,55.86,0.07,33.47,0.06,14.78,982,1313.6,14.78,Main Location,General,Main Location - General,1948-01-01,1948,1,4.5,8.5
183642,7.28,0.11,72.51,0.29,0.14,1928,1518.25,0.14,Main Location,General,Main Location - General,1948-02-01,1948,2,4.5,8.5
95580,39.05,0.0,28.6,0.06,23.98,2725,3045.45,23.98,Main Location,General,Main Location - General,1948-03-01,1948,3,4.5,8.5
130416,36.62,0.41,159.66,0.2,29.99,1687,1283.11,29.99,Main Location,General,Main Location - General,1948-04-01,1948,4,4.5,8.5
160092,49.07,0.14,30.74,0.16,18.88,2102,963.76,18.88,Main Location,General,Main Location - General,1948-05-01,1948,5,4.5,8.5
250925,47.85,0.23,179.07,0.1,18.29,476,226.23,18.29,Main Location,General,Main Location - General,1948-06-01,1948,6,4.5,8.5
286298,42.49,0.33,157.86,0.7,7.26,545,674.44,7.26,Main Location,General,Main Location - General,1948-07-01,1948,7,4.5,8.5
322027,41.0,0.14,171.75,0.59,3.04,2945,2933.62,3.04,Main Location,General,Main Location - General,1948-08-01,1948,8,4.5,8.5
134781,29.27,0.45,68.42,0.78,16.0,1574,403.64,16.0,Main Location,General,Main Location - General,1948-09-01,1948,9,4.5,8.5
118446,7.87,0.03,100.02,0.25,12.85,2058,2154.94,12.85,Main Location,General,Main Location - General,1948-10-01,1948,10,4.5,8.5
148058,34.93,0.45,182.76,0.87,26.92,1016,2009.7,26.92,Main Location,General,Main Location - General,1948-11-01,1948,11,4.5,8.5
150200,13.21,0.26,108.85,0.63,10.13,1016,224.22,10.13,Main Location,General,Main Location - General,1948-12-01,1948,12,4.5,8.5
235796,22.33,0.2,106.31,0.96,0.39,65,677.75,0.39,Main Location,General,Main Location - General,1949-01-01,1949,1,4.5,8.5
72485,10.45,0.24,10.07,0.25,13.53,1449,2287.03,13.53,Main Location,General,Main Location - General,1949-02-01,1949,2,4.5,8.5
50082,7.9,0.14,131.63,0.6,25.85,501,1414.61,25.85,Main Location,General,Main Location - General,1949-03-01,1949,3,4.5,8.5
63653,28.88,0.39,42.49,0.05,26.99,838,3032.21,26.99,Main Location,General,Main Location - General,1949-04-01,1949,4,4.5,8.5
132285,47.09,0.15,16.83,0.85,19.54,1096,1730.65,19.54,Main Location,General,Main Location - General,1949-05-01,1949,5,4.5,8.5
42416,9.82,0.01,35.85,0.54,19.56,1281,615.41,19.56,Main Location,General,Main Location - General,1949-06-01,1949,6,4.5,8.5
47847,12.34,0.46,70.16,0.28,24.09,350,256.2,24.09,Main Location,General,Main Location - General,1949-07-01,1949,7,4.5,8.5
46680,0.7,0.3,158.55,0.66,26.32,67,1093.03,26.32,Main Location,General,Main Location - General,1949-08-01,1949,8,4.5,8.5
257518,41.33,0.17,100.49,0.2,6.93,2283,1035.28,6.93,Main Location,General,Main Location - General,1949-09-01,1949,9,4.5,8.5
118455,36.46,0.1,79.81,0.48,22.82,2726,2302.04,22.82,Main Location,General,Main Location - General,1949-10-01,1949,10,4.5,8.5
249445,52.6,0.0,54.4,0.55,8.04,370,1228.86,8.04,Main Location,General,Main Location - General,1949-11-01,1949,11,4.5,8.5
108707,32.02,0.22,93.0,0.02,24.68,257,434.01,24.68,Main Location,General,Main Location - General,1949-12-01,1949,12,4.5,8.5
250996,21.32,0.21,108.06,0.09,0.39,2202,1820.55,0.39,Main Location,General,Main Location - General,1950-01-01,1950,1,4.5,8.5
137962,14.33,0.1,3.02,0.13,4.23,2942,3135.86,4.23,Main Location,General,Main Location - General,1950-02-01,1950,2,4.5,8.5
119786,46.6,0.02,85.79,0.4,28.62,1166,559.31,28.62,Main Location,General,Main Location - General,1950-03-01,1950,3,4.5,8.5
214070,37.38,0.15,138.47,0.76,13.75,1074,514.75,13.75,Main Location,General,Main Location - General,1950-04-01,1950,4,4.5,8.5
98296,24.25,0.36,139.93,0.36,26.73,276,599.51,26.73,Main Location,General,Main Location - General,1950-05-01,1950,5,4.5,8.5
72157,0.19,0.36,80.04,0.74,14.62,1272,1171.29,14.62,Main Location,General,Main Location - General,1950-06-01,1950,6,4.5,8.5
14269,8.53,0.45,68.68,0.35,28.15,1036,2823.81,28.15,Main Location,General,Main Location - General,1950-07-01,1950,7,4.5,8.5
212235,39.37,0.14,122.37,0.81,13.6,2824,3095.45,13.6,Main Location,General,Main Location - General,1950-08-01,1950,8,4.5,8.5
217948,53.05,0.47,101.1,0.89,16.83,1749,1211.85,16.83,Main Location,General,Main Location - General,1950-09-01,1950,9,4.5,8.5
63900,12.64,0.21,54.39,0.6,19.3,2607,1368.13,19.3,Main Location,General,Main Location - General,1950-10-01,1950,10,4.5,8.5
283028,56.68,0.03,118.63,0.33,11.29,1094,910.96,11.29,Main Location,General,Main Location - General,1950-11-01,1950,11,4.5,8.5
119731,5.36,0.03,176.6,0.23,18.7,873,3010.4,18.7,Main Location,General,Main Location - General,1950-12-01,1950,12,4.5,8.5
250916,59.26,0.3,62.77,0.83,11.24,432,323.73,11.24,Main Location,General,Main Location - General,1951-01-01,1951,1,4.5,8.5
279656,42.33,0.27,124.26,0.64,5.45,377,990.28,5.45,Main Location,General,Main Location - General,1951-02-01,1951,2,4.5,8.5
152208,32.88,0.03,166.19,0.99,23.66,2442,860.36,23.66,Main Location,General,Main Location - General,1951-03-01,1951,3,4.5,8.5
166535,58.16,0.46,6.23,0.57,18.87,1492,1832.87,18.87,Main Location,General,Main Location - General,1951-04-01,1951,4,4.5,8.5
170712,3.62,0.21,154.56,0.52,7.51,100,2074.42,7.51,Main Location,General,Main Location - General,1951-05-01,1951,5,4.5,8.5
114963,37.03,0.32,49.8,0.17,22.53,61,1140.99,22.53,Main Location,General,Main Location - General,1951-06-01,1951,6,4.5,8.5
343367,52.08,0.36,144.92,0.73,2.41,716,1821.54,2.41,Main Location,General,Main Location - General,1951-07-01,1951,7,4.5,8.5
90771,29.37,0.24,10.37,0.06,21.24,442,745.21,21.24,Main Location,General,Main Location - General,1951-08-01,1951,8,4.5,8.5
225912,36.11,0.33,161.68,0.74,13.57,28,2705.63,13.57,Main Location,General,Main Location - General,1951-09-01,1951,9,4.5,8.5
9036,5.74,0.32,74.29,0.31,28.49,1968,1982.66,28.49,Main Location,General,Main Location - General,1951-10-01,1951,10,4.5,8.5
55609,5.22,0.32,134.57,0.68,24.54,2399,3140.43,24.54,Main Location,General,Main Location - General,1951-11-01,1951,11,4.5,8.5
60247,16.45,0.14,45.97,0.75,20.03,593,1166.61,20.03,Main Location,General,Main Location - General,1951-12-01,1951,12,4.5,8.5
289753,51.09,0.15,87.64,0.71,4.59,1399,875.73,4.59,Main Location,General,Main Location - General,1952-01-01,1952,1,4.5,8.5
189490,19.62,0.15,114.61,0.74,7.78,485,2529.64,7.78,Main Location,General,Main Location - General,1952-02-01,1952,2,4.5,8.5
252883,48.36,0.04,16.55,0.01,3.41,2299,3154.99,3.41,Main Location,General,Main Location - General,1952-03-01,1952,3,4.5,8.5
227072,12.94,0.24,139.43,0.42,1.69,693,2565.84,1.69,Main Location,General,Main Location - General,1952-04-01,1952,4,4.5,8.5
194077,39.47,0.28,119.86,0.14,17.5,1553,2506.11,17.5,Main Location,General,Main Location - General,1952-05-01,1952,5,4.5,8.5
175813,43.99,0.29,187.81,0.23,28.24,688,2428.38,28.24,Main Location,General,Main Location - General,1952-06-01,1952,6,4.5,8.5
136226,59.26,0.03,57.53,0.39,29.1,142,2186.97,29.1,Main Location,General,Main Location - General,1952-07-01,1952,7,4.5,8.5
118408,28.48,0.3,161.33,0.68,26.87,2475,2430.46,26.87,Main Location,General,Main Location - General,1952-08-01,1952,8,4.5,8.5
192619,40.81,0.41,85.52,0.36,14.68,2305,2548.45,14.68,Main Location,General,Main Location - General,1952-09-01,1952,9,4.5,8.5
151071,4.14,0.15,78.91,0.33,4.1,1239,1776.95,4.1,Main Location,General,Main Location - General,1952-10-01,1952,10,4.5,8.5
178632,28.86,0.49,131.9,0.23,16.25,2933,2997.02,16.25,Main Location,General,Main Location - General,1952-11-01,1952,11,4.5,8.5
260823,48.89,0.17,92.85,0.78,8.12,306,42.5,8.12,Main Location,General,Main Location - General,1952-12-01,1952,12,4.5,8.5
236175,52.65,0.31,2.75,0.41,5.6,2104,3085.93,5.6,Main Location,General,Main Location - General,1953-01-01,1953,1,4.5,8.5
298304,32.86,0.25,141.75,0.12,0.76,1013,1596.7,0.76,Main Location,General,Main Location - General,1953-02-01,1953,2,4.5,8.5
136020,37.99,0.03,112.68,0.8,23.17,919,1851.4,23.17,Main Location,General,Main Location - General,1953-03-01,1953,3,4.5,8.5
143800,9.01,0.36,42.94,0.11,4.6,2272,2636.47,4.6,Main Location,General,Main Location - General,1953-04-01,1953,4,4.5,8.5
34991,20.47,0.48,6.01,0.01,24.41,2376,70.34,24.41,Main Location,General,Main Location - General,1953-05-01,1953,5,4.5,8.5
132598,6.3,0.3,164.28,0.58,15.05,2400,988.54,15.05,Main Location,General,Main Location - General,1953-06-01,1953,6,4.5,8.5
196352,47.1,0.14,180.48,0.4,25.39,48,1377.1,25.39,Main Location,General,Main Location - General,1953-07-01,1953,7,4.5,8.5
220949,36.0,0.12,125.69,0.81,10.78,2868,2641.41,10.78,Main Location,General,Main Location - General,1953-08-01,1953,8,4.5,8.5
135953,33.01,0.2,96.91,0.65,20.15,2318,2498.18,20.15,Main Location,General,Main Location - General,1953-09-01,1953,9,4.5,8.5
187656,7.1,0.1,114.79,0.55,2.48,2584,2541.23,2.48,Main Location,General,Main Location - General,1953-10-01,1953,10,4.5,8.5
178233,31.87,0.25,156.75,0.41,18.96,1320,2374.39,18.96,Main Location,General,Main Location - General,1953-11-01,1953,11,4.5,8.5
195409,36.84,0.1,92.8,0.91,12.03,1323,2988.91,12.03,Main Location,General,Main Location - General,1953-12-01,1953,12,4.5,8.5
85503,44.98,0.27,20.51,0.44,26.61,1362,1561.28,26.61,Main Location,General,Main Location - General,1954-01-01,1954,1,4.5,8.5
285650,55.37,0.06,185.83,0.14,17.15,1502,525.67,17.15,Main Location,General,Main Location - General,1954-02-01,1954,2,4.5,8.5
309813,35.89,0.36,194.94,0.4,5.26,1244,1678.95,5.26,Main Location,General,Main Location - General,1954-03-01,1954,3,4.5,8.5
169557,10.83,0.17,146.54,0.89,9.13,534,1297.51,9.13,Main Location,General,Main Location - General,1954-04-01,1954,4,4.5,8.5
194487,23.63,0.5,55.06,0.4,3.53,155,1157.33,3.53,Main Location,General,Main Location - General,1954-05-01,1954,5,4.5,8.5
230924,32.53,0.24,83.84,0.64,4.68,1005,1172.12,4.68,Main Location,General,Main Location - General,1954-06-01,1954,6,4.5,8.5
160106,18.38,0.37,30.09,0.12,4.93,639,1127.14,4.93,Main Location,General,Main Location - General,1954-07-01,1954,7,4.5,8.5
143668,42.5,0.17,126.05,0.12,27.25,1255,1518.51,27.25,Main Location,General,Main Location - General,1954-08-01,1954,8,4.5,8.5
132537,22.55,0.25,32.88,0.71,10.26,1787,1765.4,10.26,Main Location,General,Main Location - General,1954-09-01,1954,9,4.5,8.5
175255,47.21,0.27,131.73,0.34,23.92,1649,611.97,23.92,Main Location,General,Main Location - General,1954-10-01,1954,10,4.5,8.5
255333,52.1,0.23,8.07,0.55,2.74,1729,1340.59,2.74,Main Location,General,Main Location - General,1954-11-01,1954,11,4.5,8.5
139008,15.13,0.25,15.36,0.19,5.72,1074,2141.81,5.72,Main Location,General,Main Location - General,1954-12-01,1954,12,4.5,8.5
137653,15.59,0.43,32.09,0.53,6.79,193,1301.68,6.79,Main Location,General,Main Location - General,1955-01-01,1955,1,4.5,8.5
150156,59.69,0.15,62.38,0.32,27.89,441,1594.21,27.89,Main Location,General,Main Location - General,1955-02-01,1955,2,4.5,8.5
191037,55.25,0.3,174.11,0.58,28.91,420,2855.9,28.91,Main Location,General,Main Location - General,1955-03-01,1955,3,4.5,8.5
120340,30.43,0.01,124.75,0.96,23.69,1151,1021.52,23.69,Main Location,General,Main Location - General,1955-04-01,1955,4,4.5,8.5
254624,58.15,0.27,149.68,0.43,19.09,1269,1907.34,19.09,Main Location,General,Main Location - General,1955-05-01,1955,5,4.5,8.5
281490,55.62,0.36,42.16,0.02,4.51,1104,2250.5,4.51,Main Location,General,Main Location - General,1955-06-01,1955,6,4.5,8.5
71342,24.81,0.37,46.5,0.56,23.07,1961,2570.15,23.07,Main Location,General,Main Location - General,1955-07-01,1955,7,4.5,8.5
82411,7.66,0.48,97.45,0.68,17.81,709,1307.84,17.81,Main Location,General,Main Location - General,1955-08-01,1955,8,4.5,8.5
347476,59.65,0.18,111.36,0.81,1.83,1158,266.42,1.83,Main Location,General,Main Location - General,1955-09-01,1955,9,4.5,8.5
50418,23.67,0.34,23.32,0.35,24.64,2416,2691.51,24.64,Main Location,General,Main Location - General,1955-10-01,1955,10,4.5,8.5
168790,19.62,0.27,167.63,0.67,15.83,744,103.91,15.83,Main Location,General,Main Location - General,1955-11-01,1955,11,4.5,8.5
211545,56.24,0.29,70.98,0.64,16.79,188,1789.24,16.79,Main Location,General,Main Location - General,1955-12-01,1955,12,4.5,8.5
82202,37.96,0.02,61.96,0.68,27.74,953,1352.6,27.74,Main Location,General,Main Location - General,1956-01-01,1956,1,4.5,8.5
130898,54.54,0.28,53.9,0.44,27.16,2744,2606.8,27.16,Main Location,General,Main Location - General,1956-02-01,1956,2,4.5,8.5
255252,49.05,0.16,89.81,0.7,8.55,324,23.55,8.55,Main Location,General,Main Location - General,1956-03-01,1956,3,4.5,8.5
226931,51.72,0.01,113.16,0.39,16.7,2850,1141.67,16.7,Main Location,General,Main Location - General,1956-04-01,1956,4,4.5,8.5
88686,24.09,0.35,106.26,0.06,25.67,862,251.23,25.67,Main Location,General,Main Location - General,1956-05-01,1956,5,4.5,8.5
72899,32.22,0.45,18.28,0.09,24.24,2313,1609.2,24.24,Main Location,General,Main Location - General,1956-06-01,1956,6,4.5,8.5
156886,32.7,0.29,51.07,0.33,13.22,1211,1583.44,13.22,Main Location,General,Main Location - General,1956-07-01,1956,7,4.5,8.5
129627,9.65,0.24,11.24,0.61,2.71,2135,756.72,2.71,Main Location,General,Main Location - General,1956-08-01,1956,8,4.5,8.5
175197,53.65,0.37,103.84,0.7,23.84,2413,2965.07,23.84,Main Location,General,Main Location - General,1956-09-01,1956,9,4.5,8.5
101119,0.56,0.25,183.28,0.34,19.58,1280,1792.37,19.58,Main Location,General,Main Location - General,1956-10-01,1956,10,4.5,8.5
217230,46.41,0.19,48.68,0.96,8.46,2198,1068.95,8.46,Main Location,General,Main Location - General,1956-11-01,1956,11,4.5,8.5
301850,47.69,0.48,138.79,0.23,6.73,2686,1484.6,6.73,Main Location,General,Main Location - General,1956-12-01,1956,12,4.5,8.5
206238,26.92,0.11,193.15,0.17,16.56,2900,871.41,16.56,Main Location,General,Main Location - General,1957-01-01,1957,1,4.5,8.5
90201,33.64,0.04,124.55,0.96,29.53,1448,116.29,29.53,Main Location,General,Main Location - General,1957-02-01,1957,2,4.5,8.5
185625,30.15,0.3,104.95,0.36,12.76,845,2993.67,12.76,Main Location,General,Main Location - General,1957-03-01,1957,3,4.5,8.5
28914,15.49,0.22,51.92,0.57,26.32,1847,762.68,26.32,Main Location,General,Main Location - General,1957-04-01,1957,4,4.5,8.5
235689,55.67,0.35,86.8,0.17,15.26,85,54.12,15.26,Main Location,General,Main Location - General,1957-05-01,1957,5,4.5,8.5
97031,24.56,0.15,44.47,0.19,18.93,1716,1300.26,18.93,Main Location,General,Main Location - General,1957-06-01,1957,6,4.5,8.5
393914,58.49,0.06,178.08,0.38,1.38,2635,2411.12,1.38,Main Location,General,Main Location - General,1957-07-01,1957,7,4.5,8.5
119643,1.28,0.04,52.86,0.2,5.55,2985,2628.71,5.55,Main Location,General,Main Location - General,1957-08-01,1957,8,4.5,8.5
108432,2.36,0.19,62.56,0.42,8.8,452,2728.14,8.8,Main Location,General,Main Location - General,1957-09-01,1957,9,4.5,8.5
158990,18.33,0.43,102.12,0.55,10.89,73,1474.28,10.89,Main Location,General,Main Location - General,1957-10-01,1957,10,4.5,8.5
274622,18.2,0.39,187.1,0.2,1.99,1848,2794.76,1.99,Main Location,General,Main Location - General,1957-11-01,1957,11,4.5,8.5
180023,38.2,0.48,115.37,0.88,17.5,2735,225.76,17.5,Main Location,General,Main Location - General,1957-12-01,1957,12,4.5,8.5
244496,7.96,0.14,175.47,0.08,1.12,2637,2576.38,1.12,Main Location,General,Main Location - General,1958-01-01,1958,1,4.5,8.5
292330,59.51,0.42,80.64,0.69,7.3,947,1798.75,7.3,Main Location,General,Main Location - General,1958-02-01,1958,2,4.5,8.5
102707,31.19,0.07,65.06,0.05,23.29,332,982.68,23.29,Main Location,General,Main Location - General,1958-03-01,1958,3,4.5,8.5
146176,25.67,0.44,173.22,0.58,21.87,468,2018.03,21.87,Main Location,General,Main Location - General,1958-04-01,1958,4,4.5,8.5
102803,13.1,0.49,30.97,0.77,10.75,1031,993.19,10.75,Main Location,General,Main Location - General,1958-05-01,1958,5,4.5,8.5
41789,7.95,0.17,135.48,0.78,27.88,309,1862.86,27.88,Main Location,General,Main Location - General,1958-06-01,1958,6,4.5,8.5
55088,18.68,0.34,55.67,0.27,24.39,306,394.62,24.39,Main Location,General,Main Location - General,1958-07-01,1958,7,4.5,8.5
124277,21.73,0.28,8.05,0.72,8.91,1717,2194.28,8.91,Main Location,General,Main Location - General,1958-08-01,1958,8,4.5,8.5
170390,20.05,0.3,179.59,0.43,16.63,2272,1552.23,16.63,Main Location,General,Main Location - General,1958-09-01,1958,9,4.5,8.5
169485,13.15,0.15,116.74,0.48,8.4,2986,503.05,8.4,Main Location,General,Main Location - General,1958-10-01,1958,10,4.5,8.5
87091,13.0,0.11,177.9,0.76,25.87,678,1759.61,25.87,Main Location,General,Main Location - General,1958-11-01,1958,11,4.5,8.5
139667,28.8,0.35,112.14,0.06,21.07,2718,2176.8,21.07,Main Location,General,Main Location - General,1958-12-01,1958,12,4.5,8.5
206986,38.98,0.48,191.52,0.34,21.4,477,822.89,21.4,Main Location,General,Main Location - General,1959-01-01,1959,1,4.5,8.5
95297,16.36,0.01,59.88,0.31,16.66,1860,2473.09,16.66,Main Location,General,Main Location - General,1959-02-01,1959,2,4.5,8.5
138118,27.08,0.4,134.73,0.59,20.76,2532,1575.57,20.76,Main Location,General,Main Location - General,1959-03-01,1959,3,4.5,8.5
193032,4.39,0.19,176.58,0.8,5.64,848,1638.2,5.64,Main Location,General,Main Location - General,1959-04-01,1959,4,4.5,8.5
35009,2.22,0.1,39.8,0.67,18.23,471,3098.65,18.23,Main Location,General,Main Location - General,1959-05-01,1959,5,4.5,8.5
268576,46.15,0.01,164.71,0.82,11.97,223,709.69,11.97,Main Location,General,Main Location - General,1959-06-01,1959,6,4.5,8.5
99872,26.04,0.47,46.76,0.85,17.92,1962,1318.46,17.92,Main Location,General,Main Location - General,1959-07-01,1959,7,4.5,8.5
169119,15.59,0.21,167.7,0.0,15.32,1321,532.92,15.32,Main Location,General,Main Location - General,1959-08-01,1959,8,4.5,8.5
168632,4.77,0.25,110.53,0.23,5.17,2436,2699.78,5.17,Main Location,General,Main Location - General,1959-09-01,1959,9,4.5,8.5
205285,50.52,0.49,85.22,0.04,17.91,2251,1831.31,17.91,Main Location,General,Main Location - General,1959-10-01,1959,10,4.5,8.5
124960,8.78,0.23,46.89,0.52,7.27,666,669.91,7.27,Main Location,General,Main Location - General,1959-11-01,1959,11,4.5,8.5
249394,51.07,0.04,148.58,0.73,15.56,1769,1858.46,15.56,Main Location,General,Main Location - General,1959-12-01,1959,12,4.5,8.5
186589,14.8,0.2,127.08,0.68,7.15,1444,1236.68,7.15,Main Location,General,Main Location - General,1960-01-01,1960,1,4.5,8.5
284110,55.69,0.38,186.75,0.04,17.42,2782,498.22,17.42,Main Location,General,Main Location - General,1960-02-01,1960,2,4.5,8.5
86494,42.54,0.33,42.1,0.17,28.62,797,2263.13,28.62,Main Location,General,Main Location - General,1960-03-01,1960,3,4.5,8.5
185336,26.21,0.36,67.49,0.73,7.39,1920,417.02,7.39,Main Location,General,Main Location - General,1960-04-01,1960,4,4.5,8.5
188486,30.76,0.26,167.96,0.93,16.84,2263,89.99,16.84,Main Location,General,Main Location - General,1960-05-01,1960,5,4.5,8.5
204376,44.61,0.42,100.53,0.38,16.07,2669,2795.31,16.07,Main Location,General,Main Location - General,1960-06-01,1960,6,4.5,8.5
76035,30.94,0.44,100.26,0.6,29.6,687,2083.11,29.6,Main Location,General,Main Location - General,1960-07-01,1960,7,4.5,8.5
123671,9.52,0.07,187.26,0.54,20.16,2976,1315.02,20.16,Main Location,General,Main Location - General,1960-08-01,1960,8,4.5,8.5
220972,59.2,0.25,97.02,0.34,19.5,2571,2463.14,19.5,Main Location,General,Main Location - General,1960-09-01,1960,9,4.5,8.5
